model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
CNN_1,Spectrogram,50,0.1,0.166,2.204,0.128,2.191,0.089
CNN_1,Spectrogram,50,0.1,0.175,2.147,0.148,2.254,0.113
CNN_1,Spectrogram,50,0.1,0.175,2.151,0.191,2.329,0.113
CNN_1,Spectrogram,50,0.1,0.175,2.150,0.173,2.336,0.113
CNN_1,Spectrogram,50,0.1,0.175,2.151,0.050,2.440,0.113
CNN_1,Spectrogram,50,0.01,0.351,1.684,0.216,2.333,0.251
CNN_1,Spectrogram,50,0.01,0.322,1.882,0.109,2.405,0.130
CNN_1,Spectrogram,50,0.01,0.335,1.914,0.177,2.956,0.193
CNN_1,Spectrogram,50,0.01,0.349,1.842,0.169,3.206,0.312
CNN_1,Spectrogram,50,0.01,0.294,1.839,0.162,2.388,0.113
CNN_1,Spectrogram,50,0.001,0.607,1.087,0.361,1.977,0.218
CNN_1,Spectrogram,50,0.001,0.714,0.876,0.382,2.141,0.222
CNN_1,Spectrogram,50,0.001,0.464,1.527,0.179,3.063,0.310
CNN_1,Spectrogram,50,0.001,0.484,1.474,0.177,3.054,0.312
CNN_1,Spectrogram,50,0.001,0.537,1.341,0.341,2.476,0.312
CNN_1,Spectrogram,50,0.0001,0.583,1.253,0.271,2.021,0.218
CNN_1,Spectrogram,50,0.0001,0.664,1.067,0.283,2.010,0.250
CNN_1,Spectrogram,50,0.0001,0.310,1.918,0.119,2.422,0.253
CNN_1,Spectrogram,50,0.0001,0.291,1.946,0.166,2.406,0.261
CNN_1,Spectrogram,50,0.0001,0.449,1.645,0.205,2.255,0.283
