model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
ResNet_50,MFCC,50,0.1,0.094,2.298,0.098,2.258,0.085
ResNet_50,MFCC,50,0.1,0.078,2.298,0.102,2.261,0.085
ResNet_50,MFCC,50,0.1,0.064,2.295,0.108,2.258,0.116
ResNet_50,MFCC,50,0.1,0.067,2.282,0.101,2.273,0.113
ResNet_50,MFCC,50,0.1,0.072,2.289,0.082,2.286,0.110
ResNet_50,MFCC,50,0.01,0.124,2.263,0.098,2.251,0.085
ResNet_50,MFCC,50,0.01,0.123,2.259,0.102,2.254,0.085
ResNet_50,MFCC,50,0.01,0.119,2.259,0.129,2.251,0.110
ResNet_50,MFCC,50,0.01,0.121,2.256,0.121,2.269,0.110
ResNet_50,MFCC,50,0.01,0.269,1.940,0.168,2.184,0.203
ResNet_50,MFCC,50,0.001,0.825,0.493,0.524,1.791,0.498
ResNet_50,MFCC,50,0.001,0.851,0.442,0.448,2.173,0.509
ResNet_50,MFCC,50,0.001,0.858,0.406,0.469,2.502,0.456
ResNet_50,MFCC,50,0.001,0.896,0.319,0.455,2.365,0.525
ResNet_50,MFCC,50,0.001,0.833,0.468,0.442,2.231,0.540
ResNet_50,MFCC,50,0.0001,0.792,0.677,0.592,1.302,0.496
ResNet_50,MFCC,50,0.0001,0.736,0.809,0.488,1.489,0.496
ResNet_50,MFCC,50,0.0001,0.801,0.606,0.499,1.619,0.494
ResNet_50,MFCC,50,0.0001,0.788,0.653,0.464,1.854,0.506
ResNet_50,MFCC,50,0.0001,0.759,0.753,0.426,1.712,0.476
