model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
ResNet_50,Spectrogram,50,0.1,0.166,2.206,0.128,2.192,0.089
ResNet_50,Spectrogram,50,0.1,0.175,2.155,0.148,2.251,0.113
ResNet_50,Spectrogram,50,0.1,0.175,2.157,0.191,2.345,0.113
ResNet_50,Spectrogram,50,0.1,0.175,2.163,0.173,2.321,0.113
ResNet_50,Spectrogram,50,0.1,0.175,2.153,0.050,2.455,0.113
ResNet_50,Spectrogram,50,0.01,0.273,1.905,0.177,2.253,0.166
ResNet_50,Spectrogram,50,0.01,0.195,2.000,0.125,2.268,0.189
ResNet_50,Spectrogram,50,0.01,0.175,2.139,0.189,2.316,0.115
ResNet_50,Spectrogram,50,0.01,0.181,1.819,0.169,2.548,0.160
ResNet_50,Spectrogram,50,0.01,0.175,2.148,0.050,2.431,0.113
ResNet_50,Spectrogram,50,0.001,0.402,1.246,0.212,2.302,0.320
ResNet_50,Spectrogram,50,0.001,0.544,1.211,0.289,2.247,0.291
ResNet_50,Spectrogram,50,0.001,0.332,1.906,0.117,2.938,0.294
ResNet_50,Spectrogram,50,0.001,0.251,1.835,0.121,2.821,0.330
ResNet_50,Spectrogram,50,0.001,0.238,1.893,0.185,2.624,0.300
ResNet_50,Spectrogram,50,0.0001,0.498,1.411,0.269,1.901,0.236
ResNet_50,Spectrogram,50,0.0001,0.464,1.525,0.341,2.094,0.251
ResNet_50,Spectrogram,50,0.0001,0.150,2.091,0.087,2.357,0.199
ResNet_50,Spectrogram,50,0.0001,0.248,2.280,0.146,2.306,0.242
ResNet_50,Spectrogram,50,0.0001,0.218,2.114,0.093,2.308,0.265
