model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
VGG16,MFCC,50,0.1,0.121,2.217,0.128,2.191,0.089
VGG16,MFCC,50,0.1,0.109,6.020,0.078,6.848,0.197
VGG16,MFCC,50,0.1,0.175,2.154,0.191,2.340,0.113
VGG16,MFCC,50,0.1,0.175,2.163,0.173,2.337,0.113
VGG16,MFCC,50,0.1,0.107,2.194,0.050,2.458,0.113
VGG16,MFCC,50,0.01,0.166,2.205,0.128,2.190,0.089
VGG16,MFCC,50,0.01,0.175,2.148,0.148,2.242,0.113
VGG16,MFCC,50,0.01,0.175,2.147,0.191,2.336,0.113
VGG16,MFCC,50,0.01,0.175,2.150,0.173,2.328,0.113
VGG16,MFCC,50,0.01,0.175,2.149,0.050,2.446,0.113
VGG16,MFCC,50,0.001,0.462,1.457,0.298,2.155,0.197
VGG16,MFCC,50,0.001,0.949,0.128,0.281,5.208,0.259
VGG16,MFCC,50,0.001,0.845,0.404,0.242,4.158,0.248
VGG16,MFCC,50,0.001,0.742,0.713,0.283,3.500,0.234
VGG16,MFCC,50,0.001,0.396,1.503,0.238,2.757,0.226
VGG16,MFCC,50,0.0001,0.996,0.059,0.476,3.520,0.310
VGG16,MFCC,50,0.0001,0.988,0.069,0.429,2.423,0.253
VGG16,MFCC,50,0.0001,0.998,0.017,0.269,4.376,0.333
VGG16,MFCC,50,0.0001,0.998,0.034,0.308,3.142,0.265
VGG16,MFCC,50,0.0001,0.994,0.039,0.320,2.361,0.283
