model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
VGG16,Spectrogram,50,0.1,0.250,3.908,0.210,133739.843,0.085
VGG16,Spectrogram,50,0.1,0.121,2.370,0.191,2.645,0.085
VGG16,Spectrogram,50,0.1,0.164,2.167,0.175,2.581,0.085
VGG16,Spectrogram,50,0.1,0.207,7765.127,0.027,7835.378,0.062
VGG16,Spectrogram,50,0.1,0.136,95.236,0.101,2.540,0.085
VGG16,Spectrogram,50,0.01,0.332,1.889,0.171,2.115,0.066
VGG16,Spectrogram,50,0.01,0.218,2.031,0.207,2.301,0.097
VGG16,Spectrogram,50,0.01,0.210,2.080,0.371,2.501,0.183
VGG16,Spectrogram,50,0.01,0.214,2.088,0.289,2.282,0.085
VGG16,Spectrogram,50,0.01,0.234,2.112,0.039,2.909,0.183
VGG16,Spectrogram,50,0.001,0.714,0.772,0.218,2.368,0.207
VGG16,Spectrogram,50,0.001,0.562,1.468,0.203,2.687,0.152
VGG16,Spectrogram,50,0.001,0.238,1.995,0.187,2.306,0.128
VGG16,Spectrogram,50,0.001,0.519,1.521,0.160,2.974,0.218
VGG16,Spectrogram,50,0.001,0.156,2.032,0.140,2.547,0.089
VGG16,Spectrogram,50,0.0001,0.582,1.172,0.222,2.111,0.214
VGG16,Spectrogram,50,0.0001,0.601,1.367,0.218,2.310,0.496
VGG16,Spectrogram,50,0.0001,0.304,2.144,0.058,2.377,0.191
VGG16,Spectrogram,50,0.0001,0.386,2.130,0.117,2.481,0.300
VGG16,Spectrogram,50,0.0001,0.339,1.979,0.187,2.415,0.253
